No,Name,Type,Brand Name,Price,Currency,Link
1,La Nuit de L'Homme ,Eau de Toilette pour homme,Yves Saint Laurent ,78,EUR,https://www.notino.fr/yves-saint-laurent/la-nuit-de-lhomme-eau-de-toilette-pour-homme/
2,Y Eau Fraîche ,eau rafraîchissante pour homme,Yves Saint Laurent ,97.17,EUR,https://www.notino.fr/yves-saint-laurent/y-eau-rafraichissante-pour-homme/
3,Kouros ,Eau de Toilette pour homme,Yves Saint Laurent ,67.9,EUR,https://www.notino.fr/yves-saint-laurent/kouros-eau-de-toilette-pour-homme/
4,L'Homme ,Eau de Toilette pour homme,Yves Saint Laurent ,60.5,EUR,https://www.notino.fr/yves-saint-laurent/lhomme-eau-de-toilette-pour-homme/
5,La Nuit de L'Homme ,Eau de Parfum pour homme,Yves Saint Laurent ,93.9,EUR,https://www.notino.fr/yves-saint-laurent/yves-saint-laurent-la-nuit-de-lhomme-eau-de-parfum-pour-homme/
6,La Nuit de L'Homme Le Parfum ,Eau de Parfum pour homme,Yves Saint Laurent ,101.17,EUR,https://www.notino.fr/yves-saint-laurent/la-nuit-de-lhomme-le-parfum-eau-de-parfum-pour-homme/
7,L´Homme L´Intense ,Eau de Parfum pour homme,Yves Saint Laurent ,67.5,EUR,https://www.notino.fr/yves-saint-laurent/lhomme-lintense-eau-de-parfum-pour-homme/
8,Y ,Eau de Parfum pour homme,Yves Saint Laurent ,73.9,EUR,https://www.notino.fr/yves-saint-laurent/y-eau-de-parfum-pour-homme/
9,La Nuit de L'Homme Eau Électrique ,Eau de Toilette pour homme,Yves Saint Laurent ,60.9,EUR,https://www.notino.fr/yves-saint-laurent/la-nuit-de-lhomme-eau-electrique-eau-de-toilette-pour-homme/
10,L'Homme Le Parfum ,Eau de Parfum pour homme,Yves Saint Laurent ,70.5,EUR,https://www.notino.fr/yves-saint-laurent/lhomme-eau-de-parfum-pour-homme/
11,M7 ,Eau de Toilette pour homme,Yves Saint Laurent ,65.63,EUR,https://www.notino.fr/yves-saint-laurent/la-collection-m7-oud-absolu-eau-de-toilette-pour-homme/
12,Y Live ,Eau de Toilette pour homme,Yves Saint Laurent ,69,EUR,https://www.notino.fr/yves-saint-laurent/y-live-eau-de-toilette-pour-homme/
